Date,Open,High,Low,Close,Adj Close,Volume
4/17/2017,8.63,8.75,8.56,8.75,8.75,1215700
4/18/2017,8.66,8.78,8.61,8.75,8.75,1384800
4/19/2017,8.74,8.98,8.72,8.88,8.88,2078300
4/20/2017,8.93,9.08,8.92,8.97,8.97,2371500
4/21/2017,8.99,9.01,8.83,8.87,8.87,1943700
4/24/2017,8.93,9.085,8.71,9.01,9.01,2718900
4/25/2017,9.02,9.215,9.02,9.18,9.18,2487800
4/26/2017,9.21,9.4,9.1,9.14,9.14,3376300
4/27/2017,9.33,9.36,8.91,8.94,8.94,7894600
4/28/2017,8.99,9,8.2,8.25,8.25,10491200
5/1/2017,8.24,8.63,8.23,8.52,8.52,5031600
5/2/2017,8.52,8.79,8.46,8.68,8.68,3797400
5/3/2017,8.61,8.67,8.39,8.4,8.4,2558800
5/4/2017,8.42,8.438,8.12,8.26,8.26,4312100
5/5/2017,8.25,8.519,8.21,8.42,8.42,2669100
5/8/2017,8.57,8.57,8.31,8.41,8.41,1797300
5/9/2017,8.41,8.45,8.28,8.31,8.31,1825000
5/10/2017,8.31,8.64,8.31,8.53,8.53,2527000
5/11/2017,8.54,8.64,8.37,8.62,8.62,2364000
5/12/2017,8.62,8.69,8.53,8.54,8.54,1812000
5/15/2017,8.57,8.8,8.547,8.64,8.64,2042000
5/16/2017,8.64,8.73,8.59,8.68,8.68,1580100
5/17/2017,8.6,8.6,8.37,8.39,8.39,2313300
5/18/2017,8.3,8.36,8.21,8.25,8.25,1932300
5/19/2017,8.26,8.575,8.26,8.52,8.52,2297300
5/22/2017,8.53,9.18,8.49,8.86,8.86,5430900
5/23/2017,8.84,8.87,8.52,8.63,8.63,3508400
5/24/2017,8.62,8.65,8.5,8.54,8.54,1901600
5/25/2017,8.55,8.62,8.41,8.47,8.47,1650800
5/26/2017,8.47,8.483,8.32,8.4,8.4,1161800
5/30/2017,8.35,8.38,8.23,8.3,8.3,1703400
5/31/2017,8.29,8.32,8.02,8.22,8.22,2563300
6/1/2017,8.22,8.55,8.201,8.42,8.42,1921300
6/2/2017,8.35,8.48,8.32,8.41,8.41,973600
